iso3,year,pop,lgdp_delta,temperature_anomaly,mortality_impact,_grp,_mortality_impact_demean,_temperature_anomaly_demean,residuals,region,n,rsqr1,rsqr2,s2,zeta,eta,rho,alpha,beta,flexraw,rawtotal
ARG,2000,21126390.89098297,-0.1483056745935635,1.638861929103611,0.30401871865911545,ARG,0.09803247032861828,-0.09135923701562668,0.10276824088134909,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,-0.019057963530896335,-0.019057963530896335
ARG,2001,10917093.569910886,0.0998566079784107,0.0038474802215969456,0.10822711517415165,ARG,-0.08487559238928834,-1.5628029180946175,-0.023827148029589934,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,0.03266165397475015,0.03266165397475015
ARG,2002,13417841.236721512,-0.20997356393456929,0.5456603590902849,0.39746736765492796,ARG,0.16009491301928222,-1.3665665686950026,0.2136333223875582,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,-0.01662100364729701,-0.01662100364729701
ARG,2003,10148817.258291166,-0.13487206692511922,0.596532744913944,0.05061572919643435,ARG,-0.1558464229252293,-1.120767370573429,-0.11171483642338101,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,-0.01878151088238085,-0.01878151088238085
ARG,2004,7972008.634544688,0.3189047802648602,4.977447544416865,0.4696337301891212,ARG,0.2533620820448376,2.879213349421882,0.14441298158890667,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,0.1602079423354955,0.1602079423354955
ARG,2005,12217615.3037118,-0.050249265373384956,3.959706182719071,0.39797298598106323,ARG,0.21576835399302396,2.7717061287445386,0.11093359316676718,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,-0.010400087360409843,-0.010400087360409843
ARG,2006,16238207.631646201,0.12905386847046316,2.631162238209446,0.22825638882601373,ARG,0.014151118084261751,0.9572177696415244,-0.021242526913639575,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,0.04522684773701985,0.04522684773701985
ARG,2007,32299893.618588448,0.06566831050819977,0.8002784852130176,0.1047104292974922,ARG,-0.0725788740413183,-1.120988069599829,-0.0284388413091161,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,0.01968262313816324,0.01968262313816324
ARG,2008,7340766.262638166,-0.5270694129803447,1.2205736743484747,0.10343084299936996,ARG,-0.1546032008728639,-0.8782937344365931,-0.11975116679571352,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,0.09201809197758867,0.09201809197758867
ARG,2009,12572226.716998633,0.3481707176849077,2.8885306582853287,0.22714115872598975,ARG,0.008520498315176346,0.9329417126882953,-0.02594409333593014,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,0.1830639808623465,0.1830639808623465
ARG,2010,16761475.868206613,0.1477370637082081,1.4296374433272179,0.23408569442590177,ARG,0.051109838889086635,-0.03129603177643936,0.05354696918264347,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,0.05398309069971363,0.05398309069971363
ARG,2011,10874130.120322028,0.04788098520618364,2.815627061282999,0.19043338970704113,ARG,-0.02532332177095565,1.016698818201114,-0.06299332768453701,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,0.013669750783621627,0.013669750783621627
ARG,2012,29640341.782526363,0.010563774475902189,0.7610801702684067,0.161699236719585,ARG,-0.06341834173007861,-1.069613960401463,-0.021244414456489495,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,0.002700448261302119,0.002700448261302119
ARG,2013,4389112.504925749,-0.47950656622061405,3.667018804446052,0.0886521099201371,ARG,-0.11421906035457118,1.9849354084883415,-0.18894382546684196,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,0.06546430604038299,0.06546430604038299
ARG,2014,8119009.277958925,-0.11016586551731299,0.006664244133609222,8.805564983118326e-05,ARG,-0.224127659696466,-1.3577606797090223,-0.1709262548363641,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,-0.01751905155623595,-0.01751905155623595
ARG,2015,11941114.787757779,0.11215683114478385,1.6058471669487038,0.2928573150222447,ARG,0.08677744217317801,-0.2319585832050772,0.09689399978643268,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,0.037788806675761455,0.037788806675761455
ARG,2016,4941918.288228655,0.022084749266344822,-0.40937410927464724,0.20023402694663373,ARG,-0.008458602890089938,-1.981219040140365,0.06860277550121252,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,0.005849191089068125,0.005849191089068125
ARG,2017,3474532.719855751,-0.10884150159941029,4.033448563169012,0.4069458373301526,ARG,0.21591895253888851,2.294353295685494,0.12935265466812473,ARG,21,-1.464737617064921,-0.42853216553780915,0.028245589385264214,0.04744126411966432,0.11285252752233378,0.0,0.24717970054149524,0.8002059694634466,-0.0174237917839189,-0.0174237917839189
